,name,start
1276,Чемпионат Грузии,2002-05-18 00:00:00
1277,Чемпионат Москвы. Высшая лига,2001-10-21 00:00:00
1318,"Чемпионат клуба ""Эрудит""",2001-09-20 00:00:00
1271,Открытый кубок СНГ,2002-05-24 00:00:00
1293,Открытый кубок СНГ - синхрон,2002-05-24 00:00:00
1292,Чемпионат Мордовии,2001-10-07 00:00:00
1283,Чемпионат Москвы. Вторая лига. Дивизион Open,2001-12-08 00:00:00
1280,Чемпионат Москвы. Первая лига,2001-10-20 00:00:00
1299,Чемпионат Одессы. Высшая лига,2001-09-30 00:00:00
1300,Чемпионат Одессы. Первая лига,2001-09-30 00:00:00
1331,Чемпионат Киева,2002-03-17 00:00:00
1310,Кубок Метрополии,2002-06-15 00:00:00
1297,Кубок Подполья,2002-06-24 00:00:00
1302,Чемпионат Днепропетровской области,2002-05-12 00:00:00
1298,Белые ночи,2002-07-06 00:00:00
1301,Остров сокровищ,2002-07-05 00:00:00
712,Чемпионат мира,2002-07-07 00:00:00
2349,Студенческий чемпионат России,2002-07-13 00:00:00
1303,Открытый чемпионат Татарстана,2002-07-13 00:00:00
1309,Чемпионат Южного Кавказа,2002-07-26 00:00:00
1311,Лесной городок - Летние зори,2002-08-08 00:00:00
1315,Летние зори. Гала-турнир,2002-08-10 00:00:00
1307,Открытый кубок Ступино,2002-08-25 00:00:00
1308,Братская могила,2002-09-01 00:00:00
1312,Встречи на Мичигане,2002-09-13 00:00:00
1317,Кубок провинций,2002-09-29 00:00:00
1323,Турнир Медвежути,2002-10-07 00:00:00
1322,Турнир на кубок мэра,2002-10-12 00:00:00
1324,Чемпионат Республики Татарстан,2002-10-19 00:00:00
1357,Нестерка,2002-10-19 00:00:00
1316,Чемпионат Украины,2002-10-19 00:00:00
3009,Кубок губернатора СПб. Отбор иногородних команд,2002-10-26 00:00:00
1328,Очный кубок Урало-Сибирской лиги,2002-10-25 00:00:00
1326,Кубок УралВагонЗавода,2002-10-25 00:00:00
1355,Кубок губернатора,2002-10-27 00:00:00
1333,Кубок губернатора СПб. Финал,2002-10-27 00:00:00
1335,Межконтинентальный кубок,2002-10-27 00:00:00
1320,Гостиный двор,2002-11-06 00:00:00
1330,Открытый чемпионат Самары,2002-11-08 00:00:00
1321,Кубок Тель-Авива,2002-11-09 00:00:00
1329,Всемирный потоп,2002-11-16 00:00:00
1334,Чемпионат Баку,2002-09-15 00:00:00
1348,Кубок Рубика,2002-11-11 00:00:00
1337,Открытый кубок России,2002-12-01 00:00:00
1325,Турнир в Эрбахе,2002-12-01 00:00:00
1319,Беловежская зима,2002-12-01 00:00:00
1365,Чемпионат Днепропетровска. Первая лига,2002-10-26 00:00:00
1364,Чемпионат Днепропетровска. Высшая лига,2002-10-27 00:00:00
1340,Турнир в Кёльне,2002-12-22 00:00:00
1352,Чемпионат Тель-Авива,2002-01-15 00:00:00
1353,Чемпионат Хайфы,2002-01-19 00:00:00
1341,Бахмут - XXI век,2003-01-03 00:00:00
1354,Зимний кубок Азербайджана,2003-01-04 00:00:00
1433,Кубок Хайфы,2003-01-11 00:00:00
1339,Неспростая зима,2003-01-12 00:00:00
1342,Открытый кубок Мордовии,2003-01-25 00:00:00
1360,Чемпионат Донецкой области,2003-02-01 00:00:00
1420,Зимняя сказка,2003-02-02 00:00:00
1393,Чемпионат Беларуси,2003-02-08 00:00:00
1397,Чемпионат Саратова,2002-10-06 00:00:00
1369,Чемпионат России,2003-02-15 00:00:00
1351,Жаркая зима,2003-02-22 00:00:00
1344,Чемпионат Молдовы,2003-02-23 00:00:00
1419,Молотов-коктейль,2003-02-28 00:00:00
1346,Олимпийский кубок ЛУК,2003-03-01 00:00:00
1359,Чемпионат США,2003-03-08 00:00:00
1368,Открытый чемпионат на призы мэра Казани,2003-03-08 00:00:00
1347,Чемпионат Армении,2003-03-09 00:00:00
1383,Мартовский лев,2003-03-15 00:00:00
1363,Кубок Днепропетровской области,2003-03-16 00:00:00
1380,Симбирск Опен,2003-03-15 00:00:00
1345,Открытый чемпионат АГТУ,2003-03-18 00:00:00
